A16,l,This Southern restaurant has long lines which are well worth the wait due to it's delectable pastas.,http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=184299&year=2012,1,2,2,3,2,2,4,"Italian, Pizza",sf
Absinthe,l,"You can often tell an excellent French brasserie by the quality of classic dishes such as French onion soup and coq au vin. Chef Adam Keough, who worked for Michael Mina in Southern California, has done justice to both at this 14-year-old spot.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=163699&year=2012,2,2,2,3,2,2,4,French,sf
Acquerello,d,"This elegant Italian restaurant remains fresh after two decades, with a revitalized interior that emphasizes the stucco walls and a beamed cathedral ceiling of this former chapel.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=181582&year=2012,2,2,2,3,2,2,5,Italian,sf
Ad Hoc,d,"After a 2-month remodel, Thomas Keller's once- temporary venture that he opened in 2006 is here to stay. Recently, dinner consisted of a salad picked from the French Laundry garden, with braised artichokes, carrots, green beans and pine nut-citrus vinaigrette,",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=249911&year=2012,2,2,2,2,2,2,4,American,sf
Adesso,d,"It seems just about every restaurant these days offers house-made salumi, but no place does it better than this compact Oakland restaurant.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=602706&year=2012,2,2,2,2,2,2,4,Italian,sf
Amber India,l,"Kirti Pant, who cooked at the Cinnamon Club in London, Tamarind in New York and Junnoon in Palo Alto, now makes San Francisco his home, creating modern Indian food to go with the contemporary surroundings of this 4-year-old restaurant.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=299848&year=2012,1,2,2,3,2,2,3,Indian,sf
Ame,d,East meets West effortlessly at this restaurant in the St. Regis hotel owned by Lissa Doumani and Hiro Sone of Terra and Bar Terra in St. Helena.,http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=228251&year=2012,1,2,2,3,2,2,4,"Asian, California",sf
AQ,d,"Talk about an urban pioneer -- first-time restaurateur Matt Semmelhack and chef Mark Liberman, who worked at La Folie, opened this stylish restaurant on Mission between Sixth and Seventh streets, an area that's economically depressed and depressing.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=609524&year=2012,2,2,2,2,2,2,4,California,sf
Aziza,d,"While the interior of this Moroccan restaurant speaks to the rustic, expected cuisine, what's on the plate is more like something you'd find at Coi, Gary Danko or Manresa. Mourad Lahlou, a self-trained chef, started cooking his native cuisine in 1997 at Kasbah in San Rafael, but as his passion grew, his technique improved.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=181752&year=2012,2,2,2,2,2,2,5,Moroccan,sf
Baker and Banker,d,"The name has the same ring as a law firm, but anyone who loves food knows Jeff Banker as the chef and his wife, Lori Baker, as the pastry master at this handsome restaurant that opened in 2009 in the former Quince space.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=604991&year=2012,1,2,2,3,2,2,4,"America, California",sf
Bar Agricole,d,"Not many restaurants can be equally adept at appeasing both drinkers and diners, but Bar Agricole succeeds spectacularly.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=606349&year=2012,1,2,2,2,2,2,4,"America, California",sf
Bar Tartine,l,"Nicolaus Balla, who earned three stars cooking Japanese dishes at Nombe, turned his talents to Hungarian food when he took over the kitchen at this restaurant owned by Chad Robertson and Elisabeth Prueitt from Tartine Bakery.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=229435&year=2012,2,2,2,3,2,2,4,Eastern European,sf
Baume,l,"Menu changes often, but always includes cutting-edge techniques.
Bruno Chemel took over the Chez TJ kitchen in Mountain View and the restaurant lost one of its two Michelin stars. The menu is modern and exciting, although the wine pairings are less than stellar techniques.""",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=605724&year=2012,2,2,2,3,2,2,4,French,sf
Benu,d,"Few chefs have such a distinct point of view as Corey Lee, who worked eight years as a top toque at the French Laundry.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=606412&year=2012,2,2,2,3,2,2,5,"Asian, American, French",sf
Betelnut,l,Chef Alexander Ong has been exploring his Malaysian heritage on the Pan-Asian menu at this pioneering restaurant that was one of the first to offer homey foods from all over Asia when it opened 17 years ago.,http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=181685&year=2012,1,2,2,2,2,2,4,Asian,sf
Bistro Aix,d,"Few restaurants in the Marina create as warm a neighborhood aura as this restaurant opened in 1996 by Jonathan Beard. Beard shines on with simple items such as butter lettuce salad with mustard vinaigrette, and spaghetti with tomatoes and basil.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=181581&year=2012,2,2,2,2,2,2,3,French,sf
Bistro Don Giovanni,l,"Donna and Giovanni Scala?s restaurant, which they?ve operated since 1993, is the place to find locals. The fireplace room, wood-oven pizza station, comfortable bar and covered patio, also with a fireplace, provide many dining options.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=181277&year=2012,2,2,2,3,2,2,5,"Italian, Mediterranean",sf
Bocadillos,l,Diners can share a glass of Kalimutxo -- equal parts Coca-Cola and red wine -- at the counter or the communal table in the center of the room.,http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=191625&year=2012,2,2,2,2,2,2,4,Spanish,sf
Bottega Napa Valley,l,You have to give credit to a chef who gives up the bright lights of television and celebrity to toil in the kitchen.,http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=306371&year=2012,1,2,2,3,2,2,4,"Italian, California",sf
Bouchon,l,"It?s the place to come for oysters, which can be eaten at the classic zinc bar or in the classic Adam Tihany-designed dining room that features intricate tiled floors, a tin ceiling and Deco-looking light fixtures.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=181435&year=2012,1,2,2,2,2,2,4,French,sf
Boulevard,l,"The interior designed by co-owner Pat Kuleto shows Belle Epoque influences in the three dining areas: the bar, the open kitchen and an elevated area overlooking the Bay Bridge.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=181243&year=2012,1,2,2,2,2,2,4,American,sf
Camino,d,"Chez Panisse has trained a lot of disciples in its 40-plus years, but no one is as true to the cause as Russell Moore. He cooked at the restaurant for two decades before going out on his own four years ago with Allison Hopelain.",http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=298794&year=2012,2,2,2,3,2,2,4,California,sf
Canteen,d,Dennis Leary was at the forefront of a trend when he opened this fine-dining diner in 2004.,http://www.sfgate.com/cgi-bin/listings/restaurants/venuetop?vid=214714&year=2012,1,2,2,2,2,2,3,"American, French",sf
